1.44 45.86 0.58
1.48 44.75 0.52
1.49 45.45 0.63
1.51 44.6 0.75
1.52 44.96 0.54
1.55 43.85 0.77
1.61 45.02 0.54
1.62 45.72 0.46
1.71 45.64 1.32
1.98 46.67 0.54
2.03 47.57 1.2
2.07 45.8 0.84
2.14 45.85 0.63
2.2 46.12 0.65
2.3 47.22 0.52
2.32 46.56 0.59
2.35 45.9 0.96
2.44 46.46 0.79
2.5 46.41 0.71
2.61 47.16 0.95
2.66 46.56 0.67
2.68 46.31 0.72
2.82 45.66 0.66
2.9 47.37 0.7
3.08 46.3 0.66
3.2 47.19 0.5
3.21 47.53 0.53
3.24 48.46 1.24
3.35 47.03 0.93
3.37 47.2 1.19
3.42 48.67 0.74
3.53 47.97 0.96
3.79 46.3 0.67
3.8 47.07 0.81
3.91 48.28 0.53
4.05 46.78 0.75
4.27 48.04 0.69
4.41 47.87 0.66
4.5 47.98 0.84
4.9 48.86 1.14
6.29 49.74 0.68
6.6 48.53 1.07
