0.015 34.11 0.21
0.015 34.38 0.22
0.015 34.16 0.16
0.015 33.95 0.18
0.0151 34.53 0.21
0.0152 34.26 0.24
0.0152 34.02 0.22
0.0152 34.1 0.22
0.0153 34.71 0.21
0.0154 33.94 0.15
0.016 33.82 0.21
0.016 34.17 0.22
0.0163 34.45 0.21
0.0163 34.02 0.2
0.0163 34.04 0.14
0.0164 34.18 0.25
0.0166 34.34 0.25
0.0167 34. 0.25
0.0167 34.23 0.21
0.017 34.38 0.31
0.0172 34.26 0.25
0.0172 34.65 0.2
0.0173 34.23 0.22
0.0173 34.25 0.22
0.0176 34.34 0.27
0.0179 34.35 0.16
0.0183 34.37 0.16
0.0187 35.05 0.2
0.0189 34.37 0.21
0.0192 34.49 0.2
0.0192 34.74 0.2
0.0193 34.95 0.24
0.0195 34.76 0.2
0.0196 34.59 0.18
0.0204 34.66 0.15
0.0205 34.62 0.19
0.0208 34.8 0.2
0.0209 34.7 0.19
0.0211 34.66 0.19
0.0212 34.85 0.19
0.0215 34.93 0.19
0.0218 34.97 0.23
0.0219 34.85 0.19
0.022 34.85 0.19
0.0221 34.92 0.19
0.0221 34.91 0.19
0.0224 34.95 0.24
0.0229 35.14 0.18
0.0229 35.2 0.19
0.023 35.07 0.19
0.023 35.13 0.14
0.0232 35.09 0.23
0.0233 35.2 0.19
0.0233 34.88 0.18
0.0235 35.17 0.23
0.0239 35.03 0.18
0.024 35.18 0.2
0.024 34.97 0.11
0.0242 35.19 0.18
0.0242 35.05 0.13
0.0243 35.11 0.18
0.0245 35.06 0.1
0.0247 34.91 0.18
0.0248 35.26 0.18
0.0249 34.8 0.19
0.0251 34.95 0.18
0.0255 35.72 0.2
0.0256 35.68 0.19
0.0259 35.42 0.18
0.026 35.38 0.18
0.026 35.37 0.11
0.0261 35.36 0.19
0.0265 35.48 0.19
0.0266 35.32 0.18
0.0268 35.26 0.13
0.0273 35.09 0.18
0.0275 35.65 0.18
0.0276 35.48 0.13
0.0277 35.71 0.18
0.0279 35.09 0.22
0.0283 35.52 0.18
0.0284 35.55 0.13
0.0285 35.35 0.22
0.0292 35.99 0.17
0.0298 35.47 0.12
0.03 35.97 0.22
0.0303 35.63 0.18
0.0305 35.6 0.09
0.0306 35.55 0.17
0.0308 35.59 0.17
0.0308 35.78 0.17
0.0308 35.63 0.18
0.0309 35.93 0.18
0.0312 35.88 0.17
0.0312 35.63 0.18
0.0315 35.65 0.17
0.0315 35.73 0.23
0.032 35.59 0.17
0.032 35.83 0.19
0.0321 35.87 0.17
0.0321 35.65 0.18
0.0321 35.9 0.17
0.0321 35.38 0.13
0.0325 35.81 0.17
0.0327 36.09 0.17
0.0329 35.97 0.12
0.0329 35.94 0.17
0.0334 35.88 0.18
0.0335 35.97 0.17
0.0336 36.01 0.19
0.0337 35.84 0.18
0.0341 35.77 0.18
0.0341 35.94 0.17
0.0341 35.84 0.18
0.0345 35.98 0.21
0.0357 35.96 0.17
0.036 36.15 0.18
0.036 35.68 0.18
0.036 35.82 0.17
0.0362 35.99 0.17
0.0365 36.13 0.22
0.0365 35.91 0.17
0.0366 35.97 0.17
0.0377 35.8 0.29
0.0393 36.33 0.1
0.0402 36.37 0.17
0.0406 36.37 0.17
0.0421 36.4 0.17
0.0422 36.34 0.17
0.0423 36.39 0.17
0.0425 35.93 0.2
0.0437 36.39 0.13
0.045 36.55 0.11
0.0453 36.64 0.16
0.047 36.49 0.11
0.0484 36.69 0.12
0.0488 36.38 0.16
0.0489 36.73 0.17
0.0491 36.73 0.18
0.0499 36.57 0.16
0.05 36.68 0.17
0.0522 36.67 0.19
0.0529 36.82 0.16
0.0537 36.48 0.22
0.0544 36.95 0.09
0.0546 36.61 0.18
0.0567 36.96 0.11
0.0576 37.08 0.16
0.0583 37.06 0.17
0.0583 37.03 0.21
0.0589 37.11 0.17
0.0618 37.13 0.12
0.0627 37.48 0.16
0.0639 37.32 0.12
0.0643 37.18 0.17
0.0651 37.31 0.16
0.0664 37.37 0.12
0.0684 37.73 0.17
0.0688 37.49 0.2
0.069 37.57 0.18
0.0701 37.45 0.16
0.0746 37.59 0.16
0.0754 37.58 0.1
0.0784 37.68 0.09
0.0786 37.49 0.16
0.08 37.69 0.1
0.0843 38.05 0.2
0.0857 37.99 0.12
0.0857 38. 0.12
0.0859 37.95 0.11
0.0876 38.23 0.19
0.089 37.83 0.12
0.0929 38.15 0.12
0.0931 38.28 0.11
0.0939 38.17 0.12
0.1009 38.46 0.17
0.1027 38.49 0.12
0.1067 38.64 0.12
0.1086 38.65 0.12
0.113 38.55 0.12
0.1147 38.67 0.11
0.1163 38.75 0.11
0.1173 38.75 0.11
0.1176 38.58 0.11
0.1197 38.76 0.11
0.1228 38.8 0.12
0.1241 38.82 0.11
0.1243 38.72 0.11
0.1244 39.04 0.16
0.1265 38.71 0.12
0.1267 38.92 0.12
0.1287 38.86 0.11
0.1293 38.92 0.13
0.1299 38.98 0.13
0.1418 39.27 0.12
