params,potential,trajectories
"[2.0582966940970713, -0.9042065116727132]","[3.467324918096118, 3.345509407550789, 3.2260262542062774, 3.1088754957443863, 2.9940570939135176, 2.881571350536242, 2.771417467830437, 2.6635961994173445, 2.5581838273428343, 2.455351793524549, 2.35510647507755, 2.257447979908532, 2.162376030939695, 2.06989087475619, 1.979992499695608, 1.892680785309082, 1.8079558284295438, 1.7258175908869364, 1.6462660837463725, 1.569302925897262, 1.4949948796611328, 1.4233769771455531, 1.3544491899019446, 1.2882115447063325, 1.2246640574911347, 1.1638066641514386, 1.1056394298349235, 1.0501623180185684, 0.9973715837740851, 0.9467486834220694, 0.8979274753060644, 0.8509079582169812, 0.8056901247287765, 0.7621890219735723, 0.71998138221359, 0.679009408190836, 0.6392730933842414, 0.6007724317565217, 0.5635074272146948, 0.5274780812277245, 0.4926843951911401, 0.4591263574496826, 0.4268039953264059, 0.39571725894715665, 0.36586619260445713, 0.33725077746078885, 0.3098710233088212, 0.28372692780915226, 0.25878365178270185, 0.23451152440108944, 0.2107315466679111, 0.18744371858316683, 0.1646480401468566, 0.14234451135898032, 0.12053313221953818, 0.09921390272853006, 0.07838682288595596, 0.058051892691815904, 0.038209112146109905, 0.01885848124883793, -0.0, -0.01836633160040389, -0.03624051355237374, -0.05362254585590954, -0.07051242851101132, -0.08691016151767904, -0.10281574487591273, -0.11780809868260891, -0.12689814422954215, -0.12863951325576056, -0.1230322063130135, -0.11007621887957357, -0.08977156361157941, -0.06211822775516641, -0.02711621586043742, 0.015234472365241003, 0.06493383679318103, 0.1219818774980239, 0.1863785946610755, 0.25812398789770163, 0.3372180582313621, 0.4236608037491106, 0.5174522290030031, 0.6185923234459972, 0.7270810961316455, 0.8410443719410432, 0.9565703166233994, 1.0735366368736774, 1.191943309233408, 1.311790314521051, 1.433077743930173, 1.555805504491592, 1.679973613769489, 1.8055820992804086, 1.9326309307852347, 2.0611201303181472, 2.1910496816746057, 2.3224195996232644, 2.4552298819459044, 2.589480507730047, 2.7251715191032533, 2.862302866342057, 3.0008745919335715, 3.1408866815942704, 3.2823391197696834, 3.425231932479333, 3.569565079861999, 3.7153385708426017, 3.862552451093763, 4.011206706581136, 4.161301312793167, 4.312836296934739, 4.465811598077275, 4.620225174913964, 4.776083324433749, 4.9333796213505705, 5.092116481448606, 5.252293612890451, 5.413911054543119, 5.576968918984168, 5.74146716450921]","[2.0582966940970713, 2.0400614339102328, 2.0207711660849728, 2.0004301522205203, 1.9790428859047446, 1.9566140907406964, 1.9331487208537013, 1.9086519681239102, 1.8831292479046853, 1.8565861980369889, 1.8290286788493821, 1.8004627731580272, 1.7708947862666842, 1.7403312459667142, 1.7087789025370788, 1.6762447287443365, 1.642735919842647, 1.6082598935737735, 1.5728205452215827, 1.5364163462952627, 1.4990526099788994, 1.4607377985712366, 1.4214834042001885, 1.3813039488228382, 1.340216984225439, 1.2982430920234127, 1.2554058836613504, 1.2117320004130125, 1.1672511133813301, 1.1219959234984016, 1.0760021615254984, 1.0293085880530557, 0.9819569935006848, 0.9339921981171598, 0.8854620519804303, 0.83641743499761, 0.7869122536950443, 0.7370037530721012, 0.6867536679074581, 0.6362231143700035, 0.5854710962457367, 0.5345545049377686, 0.48352811946631946, 0.4324446064687232, 0.38135452019942373, 0.3303063025299774, 0.27934628294904396, 0.22851867856240743, 0.1778634910141449, 0.12735781534148613, 0.07698526795839837, 0.026749653126214558, -0.023345236307832702, -0.0732956189106117, -0.12309772466308842, -0.17274779496033063, -0.22224208261150274, -0.27157685183987446, -0.32074837828281083, -0.36975294899501415, -0.4185868373337883, -0.4672451716186606, -0.5157223381522156, -0.5640124605441461, -0.6121093997112558, -0.6600067538774581, -0.7076978585737759, -0.7551757866383435, -0.8024333482164036, -0.8494630907603096, -0.8962572990295247, -0.9428079950906213, -0.989106938317285, -1.0351456253903057, -1.080915290297589, -1.1264069043341485, -1.1716111761021029, -1.2165185515106887, -1.2611192137762497, -1.3054030834222374, -1.3493598182792126, -1.3929788134848526, -1.4362492014839376, -1.4791598520283566, -1.5216993721771177, -1.5638561062963314, -1.6056181360592248, -1.6469732804461263, -1.6879090957444758, -1.7284128755488257, -1.7684716507608484, -1.8080721895893062, -1.8472009975500858, -1.885844317466176, -1.9239881294676848, -1.9616180658459488, -1.998710613432964, -2.0352447146304558, -2.071205409902733, -2.1065780426389926, -2.141348259153314, -2.1755020086846644, -2.2090255433968937, -2.2419054183787392, -2.274128491643823, -2.3056819241306514, -2.3365531797026198, -2.3667300251480037, -2.3962005301799674, -2.424953067436559, -2.452976312480712, -2.480259243800249, -2.5067911428078715, -2.532561593841172, -2.557560484162621, -2.5817780039595863, -2.6052048751975834, -2.6278331919831452, -2.64965439471015, -2.6706600882997362, -2.690842225767657, -2.7101931082242743, -2.7287053848745635, -2.7463720530181104, -2.7631864580491112, -2.779142293456375, -2.79423360082332, -2.8084547698279785, -2.8218005382429925, -2.834265991935615, -2.8458465648677103, -2.856538039095755, -2.8663365447708364, -2.8752385601386536, -2.8832409115395152, -2.8903407734083437, -2.896535668274671, -2.9018234667626404, -2.9062023875910077, -2.9096709975731385, -2.9122282116170113, -2.913873292725215, -2.9146058519949487, -2.914425848618025, -2.9133335898808665, -2.911329731164507, -2.9084152759445927, -2.904591575791379, -2.8998603303697346, -2.894223505980472, -2.887682455678574, -2.8802390929143318, -2.8718958582827403, -2.8626555422564905, -2.852521285185969, -2.8414965772992593, -2.8295852587021426, -2.816791519378094, -2.803119899188288, -2.7885752878715935, -2.773162925044577, -2.756888400201501, -2.7397576527143213, -2.721776971832699, -2.7029529966839814, -2.683292716273219, -2.6628034694831535, -2.6414929450742304, -2.6193691816845854, -2.596440567830053, -2.5727158419041616, -2.5482040921781426, -2.522914756800913, -2.4968576237991003, -2.4700428310770177, -2.4424808664166737, -2.414182567477787, -2.385159121797753, -2.3554221009801823, -2.3249845895161685, -2.2938607072392334, -2.2620644458549504, -2.229609730589063, -2.1965104201874945, -2.1627803069163396, -2.1284331165618697, -2.0934825084305326, -2.0579420753489477, -2.021825343663914, -1.9851457732424016, -1.9479167574715566, -1.9101516232587032, -1.8718636310313366, -1.83306597473713, -1.793771781843932, -1.7539941133397614, -1.7137459637328196, -1.6730402610514763, -1.6318898668442825, -1.5903075761799554, -1.5483061176474002, -1.5058981533556828, -1.4630962789340562, -1.4199130235319424, -1.3763608498189397, -1.332452153984824, -1.288199265739539, -1.243614448313212, -1.1987098984561402, -1.1534977464387923, -1.107990056051829, -1.0621988246060678, -1.0161359829325205, -0.9698133953823292, -0.923242859826873, -0.8764361076576714, -0.8294048037864205, -0.782160546644991, -0.7347113538424969, -0.6870522268166928, -0.6391879541424779, -0.5911244954754064, -0.5428676000241076, -0.49442280655030013, -0.4457954433687858, -0.3969906283474406, -0.34801326890723133, -0.2988680620222048, -0.24955949421948692, -0.2000918415792905, -0.1504691697349106, -0.10069533387272012, -0.050773978732177774, -0.0007085386058241171, 0.04949776266071228, 0.0998419116687326, 0.15032110546644836, 0.20093275154897583, 0.25167446785838243, 0.3025416604079537, 0.3534984370190583, 0.40448882694221844, 0.45545784019343527, 0.506351745433938, 0.5571180699701911, 0.6077055997538998, 0.6580643793819987, 0.7081457120966557, 0.7579021597852819, 0.8072875429805151, 0.8562569408602317, 0.9047666912475394, 0.9527743906107881, 1.0002388940635554, 1.0471203153646558, 1.0933800269181402, 1.1389806597732952, 1.1838861036246384, 1.228061506811923, 1.271473276320143, 1.31408907777952, 1.355877835465511, 1.396809732298811, 1.4368562098453537, 1.4759899683162954, 1.5141849665680414, 1.5514164221022233, 1.5876608110657093, 1.6228958682505996, 1.6571005912678052, 1.6902979395177604, 1.7225177138781655, 1.7537527211680835, 1.7839960011171123, 1.813240826365391, 1.8414807024636017, 1.868709367872964, 1.8949207939652377, 1.920109185022723, 1.944268978238262, 1.9673948437152353, 1.9894816844675622, 2.0105246364197065, 2.030519068406668, 2.0494605821739875, 2.067345012377748, 2.0841684265845717, 2.0999271252716185, 2.11461764182659, 2.128236742547734, 2.1407814266438256, 2.152249618365743, 2.1626398908768043, 2.1719497145204243, 2.180176784021303, 2.187319046078105, 2.193374699363455, 2.198342194523943, 2.20222023418012, 2.205007772926499, 2.206704017331557, 2.207308425937733, 2.206820709261428, 2.205240829793006, 2.2025690019967943, 2.1988056923110815, 2.1939516191481205, 2.1880077528941233, 2.1809753159092686, 2.172855782527696, 2.163650879057507, 2.1533625837807664, 2.1419931269535004, 2.1295449908057016, 2.1160209095413194, 2.1014238693382703, 2.0857571083484303, 2.069024116697642, 2.0512286364857055, 2.0323746617863847, 2.0124664386474116, 1.9915084650904762, 1.9695054911112224, 1.9464625186792808, 1.9223848017382172, 1.8972778462055777, 1.8711474099728618, 1.8439995029055443, 1.8158403868430424, 1.7866765755987484, 1.7565148349600221, 1.7253621826881835, 1.6932258885184868, 1.6601134741602035, 1.6260230961809334, 1.5909336569632881, 1.5548487495397576, 1.5177762161483337, 1.479726643028022, 1.4407133604188345, 1.4007524425618016, 1.359862707698966, 1.3180657180733824, 1.2753857799291155, 1.2318499435112444, 1.1874880030658677, 1.1423324968400808, 1.0964187070820095, 1.049784660040784, 1.0024711259665429, 0.9545216191104452, 0.9059823977246572, 0.8569024640623684, 0.8073335643777686, 0.7573301889260584, 0.7069495719634676, 0.6562516917472224, 0.6052992705355722, 0.554157774587775, 0.5028954141640868, 0.45158314352582224, 0.40028860659426047, 0.34903104882158265, 0.29782536440686436, 0.2466885428364919, 0.19563641864905018, 0.1446836714353156, 0.09384382583826893, 0.043129251553091684, -0.007448836672844616, -0.057880379039963285, -0.10815647069649195, -0.15826936173845338, -0.20821245720968318, -0.2579803171018122, -0.3075686563542707, -0.3569743448542926, -0.4061954074369197, -0.45523102388498027, -0.5040815289291238, -0.5527484122477774, -0.6012343184671891, -0.6495430471614135, -0.6976795528522804]"
"[1.9238881031694761, -1.001372302365987]","[1.5053666052967578, 1.4177914615076523, 1.332828186424748, 1.2504767687061036, 1.170737235549308, 1.0936095308798592, 1.019093702154746, 0.9471897587048907, 0.8778976443199056, 0.8112174114676214, 0.7471490431062376, 0.6856925352463471, 0.6268478970441869, 0.5706151177213992, 0.5169942069706145, 0.46598489258397885, 0.4175879734768697, 0.3718026481466486, 0.3286291950477698, 0.28806308859263013, 0.24991934310259079, 0.2141011098192894, 0.18060837963933288, 0.14944115969098545, 0.12059944574447279, 0.09408324074534237, 0.06989254422448968, 0.048027354186531195, 0.028484480210347475, 0.010813200256097678, -0.005306217349825407, -0.01987377271071535, -0.03288946587052093, -0.04443929245683879, -0.05495194155188168, -0.06448605436279628, -0.07304163110223223, -0.08061867167578451, -0.08721717604900399, -0.09283714418322735, -0.09747857663682766, -0.10114147231714604, -0.10382583192453099, -0.10553165580939018, -0.10625894311096991, -0.10600769488782245, -0.10477790990094578, -0.10256958891061929, -0.09938273196176557, -0.09522785102043217, -0.09027363597396174, -0.08457884846368662, -0.07814348848960684, -0.07096755605172235, -0.06305105115003319, -0.05439397378453937, -0.044996323955240856, -0.03485810166213766, -0.02397930690522979, -0.012359939684517233, 0.0, 0.013100512148321912, 0.026941596760448494, 0.04152325383637977, 0.056845483376115724, 0.07404800145209514, 0.09804287279256992, 0.12939445071079383, 0.1681027355232114, 0.21416772581674176, 0.26758942240954625, 0.3283678269252597, 0.3965029372840521, 0.47199475668301927, 0.5548432770435255, 0.6452095994741911, 0.7443577669514235, 0.8525573118095106, 0.9698081928637593, 1.09611044946689, 1.2314640648181259, 1.375869048306567, 1.5276246605348525, 1.681877857238212, 1.8383294660077705, 1.9969794788180568, 2.1578278535007067, 2.3208747839419774, 2.486120046189976, 2.65356375058554, 2.8232058592595632, 2.9950463894378476, 3.169085273821735, 3.345322625938516, 3.5237583640465413, 3.704392580859409, 3.887225164632994, 4.0722561133253485, 4.259485602784193, 4.448913436688802, 4.640539742325605, 4.834364433516903, 5.0303874580475725, 5.22860898124999, 5.4290288970527785, 5.6316475824048, 5.836463965559914, 6.0434791560608625, 6.252692754260912, 6.464104710317869, 6.677715100500177, 6.893523566326425, 7.111531132297408, 7.331736867214053, 7.554140914771553, 7.778743388318909, 8.00554435779308, 8.234543059396039, 8.465741388357015, 8.699137515314842, 8.934732105057922]","[1.9238881031694761, 1.9035539065015292, 1.8817742061890914, 1.8585563458276861, 1.8339081538609145, 1.8078379385045742, 1.7803544941959106, 1.7514671003824132, 1.7211854993650042, 1.6895198958941844, 1.6564809571700296, 1.6220798128421938, 1.5863280550099046, 1.54923773822197, 1.5108213794767757, 1.4710919582222783, 1.4300510023528228, 1.3876965008949989, 1.3440503097780123, 1.2991370092619878, 1.2529835955636683, 1.2056194808564127, 1.1570764932701978, 1.107388876891616, 1.0565932917638796, 1.0047288138868145, 0.9518369352168629, 0.8979615636670918, 0.8431490231071752, 0.7874480533634105, 0.730909810218708, 0.6735933022697929, 0.6156236817820927, 0.557085784699182, 0.4980457447784132, 0.43857012751796526, 0.37872593015684697, 0.31858058167489367, 0.25820194279276415, 0.19765797319996545, 0.13699389324694197, 0.0762179010861295, 0.015335296156268496, -0.045648146039872106, -0.1067261739354941, -0.16789205989977538, -0.22913860023786323, -0.2904581151908797, -0.35184244893591643, -0.4132829695860405, -0.4747705691902891, -0.5362956637336741, -0.5978484612870574, -0.6594264457304563, -0.721023710297371, -0.7826309978443744, -0.8442390559855033, -0.9058386370922571, -0.9674204982935997, -1.0289754014759553, -1.0904941132832124, -1.1519674051167232, -1.213386053135298, -1.2747408382552252, -1.3360225461502366, -1.39722257106379, -1.4583319870200615, -1.5193330165397274, -1.5802066174458689, -1.6409335632890825, -1.701494443347479, -1.761869662626682, -1.8220394418598331, -1.881983817507586, -1.941682641758108, -2.001115582527083, -2.060262123457706, -2.119101563920691, -2.1776130190142626, -2.2357754195641624, -2.293567512123644, -2.350967858973477, -2.4079548381219444, -2.4645066433048437, -2.5206012839854908, -2.576216585354709, -2.6313301883308426, -2.685919549559739, -2.7399619414147818, -2.7934344519968457, -2.846313985134335, -2.898577260383152, -2.950200813026741, -3.001160994076034, -3.051433970269485, -3.1009957240730692, -3.1498220536802757, -3.197891969519305, -3.2451995149481436, -3.2917274866961836, -3.3374570302101603, -3.382369670214508, -3.4264473107113593, -3.4696722349805453, -3.512027105579595, -3.5534949643437397, -3.5940592323859044, -3.6337037100967158, -3.6724125771444984, -3.7101703924752734, -3.746962094312763, -3.782773000158388, -3.817588806791267, -3.851395590268217, -3.884179805923752, -3.915928288370089, -3.9466282585775523, -3.976269205792046, -4.004840193835164, -4.032329108098605, -4.058724341228404, -4.084014793124931, -4.108189870942889, -4.131239489091317, -4.153154069233584, -4.173924540287399, -4.1935423384248, -4.211999407072163, -4.229288196910198, -4.245401665873945, -4.260333279152782, -4.274077009190422, -4.286627335684909, -4.297979245588626, -4.308128233108283, -4.317070299704931, -4.324801954093952, -4.331320212245063, -4.336622597382315, -4.340707139984094, -4.343572377783118, -4.345217355766442, -4.345641626175453, -4.344845248505875, -4.342828789507764, -4.339593323185508, -4.3351404307978365, -4.329472200857806, -4.32259122913281, -4.314500618644575, -4.305203451683639, -4.294702503928318, -4.28300188180256, -4.2701061883936475, -4.256020492961279, -4.240750330937568, -4.224301703927049, -4.206681079706667, -4.187895392225789, -4.167952041606198, -4.146858894142091, -4.124624282300086, -4.101257004719213, -4.076766326210925, -4.051161977759082, -4.024454156519974, -3.9966535258222957, -3.967771215167163, -3.9378188202281135, -3.9068084028510928, -3.8747524910544713, -3.84166407902903, -3.8075566271379655, -3.7724440619169033, -3.7363407760738725, -3.69926162848932, -3.6612219442161247, -3.6222368344506353, -3.5823157785783333, -3.541474787301334, -3.4997320738456876, -3.457105990276894, -3.4136150274998984, -3.369277815259096, -3.324113122138328, -3.278139855560884, -3.2313770617895, -3.1838439259263636, -3.135559771913108, -3.0865440625308125, -3.0368163994000055, -2.986396522980664, -2.9353043125722094, -2.8835597863135183, -2.8311831011829063, -2.778194552998146, -2.72461457641645, -2.6704637449344797, -2.615762770888345, -2.5605325054536046, -2.504793938645271, -2.448568199317796, -2.391876555165074, -2.334740412720458, -2.2771813173567557, -2.2192209532862037, -2.16088114356049, -2.1021838500707664, -2.0431511735476118, -1.9838053535610685, -1.9241687691170228, -1.8642737444089832, -1.8041501195094602, -1.743816659322763, -1.68329152061492, -1.6225922520136689, -1.5617357940084722, -1.5007384789505096, -1.4396160310526682, -1.3783835663895636, -1.3170555928975216, -1.2556460103745917, -1.1941681104805288, -1.1326345767368131, -1.0710574845266436, -1.0094483010949293, -0.9478178855482966, -0.8861764888551026, -0.8245337538454034, -0.7628987152109749, -0.7012797995053248, -0.6396848251436614, -0.5781210024029108, -0.5165949334217351, -0.4551126122004963, -0.3936794246012579, -0.3323001483478418, -0.27097895302575187, -0.20971940008222906, -0.148524442826213, -0.08739362203385037, -0.026283116800467656, 0.03479830853757758, 0.09581571107581235, 0.1567306301621758, 0.2175010873970271, 0.2780815866331298, 0.33842311397565705, 0.3984731377822055, 0.45817560866277246, 0.5174709594797711, 0.5762961053480254, 0.634584443634777, 0.6922658539596712, 0.7492666981947663, 0.8055098204645427, 0.8609145471458792, 0.9153966868680752, 0.9688685305128285, 1.0212388512142763, 1.0724129043589419, 1.1222924275857702, 1.1708256477673997, 1.2181429070007903, 1.2642458747030794, 1.309118906537771, 1.352746806326418, 1.3951148260486275, 1.4362086658420592, 1.4760144740024315, 1.5145188469835114, 1.5517088293971186, 1.5875719140131324, 1.6220960417594796, 1.655269601722143, 1.687081431145161, 1.7175208154306218, 1.7465774881386646, 1.7742419552211384, 1.8005071314664116, 1.8253641024564058, 1.8488039300797474, 1.8708182049507212, 1.8913990464092623, 1.9105391025209597, 1.9282315500770597, 1.9444700945944595, 1.9592489703157105, 1.97256294020902, 1.984407295968247, 1.9947778580129076, 2.003670975488167, 2.0110835262648505, 2.0170129169394313, 2.0214570828340412, 2.0244144879964647, 2.025884125200139, 2.0258655159441554, 2.0243587104532614, 2.021364287677857, 2.0168833552939947, 2.0109175497033847, 2.003469036033388, 1.994540508137019, 1.9841351885929515, 1.9722568287055076, 1.9589097085046623, 1.9440986367460513, 1.9278289509109627, 1.9101065172063323, 1.8909377305647521, 1.870329514644476, 1.8482893218294039, 1.824829287173124, 1.799978408645786, 1.7737404511523003, 1.7461162309797653, 1.7171079960513238, 1.686719425926159, 1.6549556317994927, 1.6218231565025891, 1.5873299745027558, 1.5514854919033356, 1.5143005464437171, 1.4757874074993276, 1.4359597760816396, 1.394832784838157, 1.3524229980524338, 1.3087484116440649, 1.2638284531686783, 1.2176839818179461, 1.1703372884195897, 1.1218120954373518, 1.072133556971048, 1.0213282587564982, 0.9694242181655875, 0.9164508842062427, 0.862439137522407, 0.8074212903940955, 0.7514535194525864, 0.6947507152830191, 0.6374168513415035, 0.5795198933256874, 0.5211234652399069, 0.4622868493952011, 0.4030649864093044, 0.3435084752066401, 0.2836635730183322, 0.22357219538220227, 0.16327191614276199, 0.10279596745122005, 0.04217323976548342, -0.01857171814984181, -0.07941869922347078, -0.1403518380774021, -0.20135961102695119, -0.2624348360807338, -0.3235746729406798, -0.3847806230020014, -0.44605685696025155, -0.5073840071166345, -0.568748541162404, -0.6301429918064665, -0.691559545699568, -0.7529900434342776, -0.8144259795449943, -0.8758585025079573, -0.9372784147412291, -0.9986761726047024, -1.0600418864001102, -1.1213653203710041, -1.1826358927027776, -1.2438426755226484, -1.3049743948996695, -1.3660194308447253, -1.4269658173105182, -1.4878012421916087, -1.5485130473243607, -1.6090882284869825, -1.6695134353995194, -1.7297749717238318, -1.7898587950636213, -1.849750516964417, -1.9094354029135931]"
